HIP,RA_Numpy,DEC_Numpy,RA_Astropy,DEC_Astropy,RA_Direct,DEC_Direct,RA_Percent_Diff_Numpy_Astropy,DEC_Percent_Diff_Numpy_Astropy,RA_Percent_Diff_Numpy_Direct,DEC_Percent_Diff_Numpy_Direct
5372.0,17.1997,86.2613,17.1997,86.2614,17.1862,86.2569,0.0001,0.0001,0.0784,0.005
4844.0,15.5812,51.0347,15.5811,51.0348,15.5767,51.035,0.0002,0.0002,0.0289,0.0006
4911.0,15.761,47.3757,15.761,47.3758,15.7562,47.3761,0.0002,0.0002,0.0302,0.0008
4903.0,15.7212,41.3504,15.7212,41.3504,15.7263,41.345,0.0002,0.0002,0.032,0.013
4889.0,15.702,31.8094,15.702,31.8095,15.7046,31.8044,0.0002,0.0003,0.0163,0.0157
4962.0,15.8947,61.0771,15.8947,61.0771,15.9042,61.075,0.0002,0.0001,0.0596,0.0034
4852.0,15.6083,-31.5516,15.6082,-31.5515,15.61,-31.5519,0.0002,-0.0003,0.0111,-0.0012
4906.0,15.7374,7.8908,15.7374,7.8909,15.7358,7.89,0.0002,0.0011,0.0102,0.0102
4914.0,15.7616,-4.8395,15.7615,-4.8394,15.7608,-4.8367,0.0002,-0.0017,0.0046,-0.059
5021.0,16.0921,61.583,16.0921,61.5831,16.0817,61.5803,0.0002,0.0001,0.0649,0.0045
4998.0,16.0091,52.504,16.009,52.5041,16.01,52.5022,0.0002,0.0002,0.0058,0.0034
4890.0,15.703,-46.3976,15.703,-46.3975,15.705,-46.3975,0.0002,-0.0002,0.0126,-0.0001
4932.0,15.8217,-29.523,15.8217,-29.5229,15.8233,-29.5258,0.0002,-0.0003,0.0101,-0.0095
5034.0,16.1147,29.6562,16.1147,29.6563,16.115,29.6586,0.0002,0.0003,0.0018,0.008
4879.0,15.6725,-65.4572,15.6725,-65.4571,15.6788,-65.4561,0.0002,-0.0001,0.0399,-0.0017
5045.0,16.1544,39.9916,16.1544,39.9917,16.1517,39.9911,0.0002,0.0002,0.0172,0.0012
5928.0,19.0591,87.1454,19.0591,87.1455,19.0562,87.1453,0.0002,0.0001,0.015,0.0001
5074.0,16.2208,5.6608,16.2208,5.6609,16.2192,5.6564,0.0002,0.0015,0.01,0.0783
