HIP,MAGNITUDE,RA_DEGREES,DEC_DEGREES,PARALLAX_MAS,RA_MAS_PER_YEAR,DEC_MAS_PER_YEAR,DISTANCE_PARSECS,ABS_MAG,COLOR_K_R,COLOR_K_G,COLOR_K_B,Dx,Dy,Dz,GLON,GLAT,RA_HOURS,EPOCH_YEAR,stereo_X,stereo_Y
424.0,6.71,1.2853952631339212,45.226935581898964,0.0,-27.19,-20.38,138.5042,1.003,0.34900000000000003,0.493,1.0,-54.8357675930938,120.66079634924995,-40.21721316154356,114.44,-16.88,0.08608333333333333,2000.0,0.0,0.463748993,-0.3476985091
417.0,6.32,1.267040558624302,-0.502885993249531,0.0,44.86,-53.47,138.8889,0.607,1.0,0.89,0.869,-9.712033024173738,66.33041215370503,-121.63913589493713,98.33,-61.14,0.08438888886666666,2000.0,3.0,1.1051927127,-0.1454894736
443.0,4.61,1.3311665029767994,-5.70600370390986,1.4e-05,-8.29,88.19,39.4945,1.627,1.0,0.89,0.869,-1.0535089235382669,16.073440100472357,-36.06036844701608,93.75,-65.93,0.08891666666666667,2000.0,3.0,1.195636693,-0.0899499159
476.0,5.55,1.426543655122174,13.399510776789494,0.0,42.59,-6.51,114.2857,0.26,1.0,0.853,0.782,-21.330472094519315,73.4678249122256,-84.90412762275753,106.19,-47.98,0.095,2000.0,3.0,0.8811756546,-0.2463320223
518.0,5.98,1.5586597481912747,58.43272168591809,4.7e-05,247.36,17.77,21.4777,4.32,1.0,0.833,0.738,-9.737855041828574,19.08690378214392,-1.4682916895201048,117.03,-3.92,0.10444444446666666,2000.0,3.0,0.3167397172,-0.3553525341
522.0,5.7,1.562918019869528,-49.07727131133638,5e-05,575.21,-39.94,25.7136,3.649,0.878,0.871,1.0,8.075227798129685,-6.398052230008451,-23.559389818719783,321.61,-66.38,0.1052777778,2000.0,2.0,1.9514302715,1.1095969318
531.0,5.57,1.6141583670217017,64.19534695143018,0.0,9.7,0.01,265.9574,-1.554,0.34900000000000003,0.493,1.0,-125.04692713728554,234.58610074102208,8.121943573150089,118.06,1.75,0.10736111113333333,2000.0,0.0,0.2559601001,-0.3555104086
544.0,6.07,1.6493165291655032,29.02333702583012,6.7e-05,379.94,-178.34,13.6705,5.391,1.0,0.881,0.848,-4.165225667815452,10.705328401183328,-7.411437728874804,111.26,-32.83,0.1102222222,2000.0,3.0,0.6620598639,-0.3102220454
560.0,6.19,1.710669192323195,-23.107513894132403,0.0,97.3,-47.09,39.3856,3.213,1.0,0.937,0.988,4.547136344538158,5.864245970685411,-38.68022308130448,52.21,-79.14,0.11391666666666668,2000.0,3.0,1.5203269293,0.1955437634
602.0,6.2,1.8248608310493637,-17.384680737129756,0.0,-10.77,17.02,176.0563,-0.028,0.727,0.777,1.0,11.562796712469043,41.301939362133126,-170.75207848457597,74.36,-75.9,0.12172222220000001,2000.0,1.0,1.4065131882,0.0860976323
635.0,6.43,1.93486535088212,-2.551721780414352,0.0,30.12,2.77,183.4862,0.112,0.6880000000000001,0.751,1.0,-11.506453231059101,81.66581636499748,-163.90692957260822,98.02,-63.29,0.12891666666666668,2000.0,1.0,1.1337517399,-0.1137588818
